"""Adler"",""Gustavo"""
"""Agur"",""Itai"""
"""Ahn"",""Jaebin"""
"""Aisen"",""Ari"""
"""Albuquerque"",""Bruno"""
"""Allen"",""Cian"""
"""Alter"",""Adrian"""
"""Alvarez"",""Jorge A"""
"""Ando"",""Sakai"""
"""Andrle"",""Michal"""
"""Ari"",""Anil"""
"""Arslanalp"",""Serkan"""
"""Asonuma"",""Tamon"""
"""Batini"",""Nicoletta"""
"""Bellon"",""Matthieu"""
"""Bems"",""Rudolfs"""
"""Bergant"",""Katharina"""
"""Berger"",""Helge"""
"""Biljanovska"",""Nina"""
"""Bizimana"",""Olivier"""
"""Bluedorn"",""John C"""
"""Bogmans"",""Christian"""
"""Boz"",""Emine"""
"""Brandao Marques"",""Luis"""
"""Bulir"",""Ales"""
"""Capelle"",""Damien"""
"""Carriere-Swallow"",""Yan"""
"""Carvalho Filho"",""Irineu E."""
"""Caselli"",""Francesca"""
"""Celasun"",""Oya"""
"""Cerutti"",""Eugenio"""
"""Chamon"",""Marcos"""
"""Chen"",""Sophia"""
"""Choi"",""Seung Mo"""
"""Christiansen"",""Lone Engbo"""
"""Comunale"",""Mariarosaria"""
"""Cubeddu"",""Luis M."""
"""Dabla-Norris"",""Era"""
"""Danninger"",""Stephan"""
"""Dao"",""Mai"""
"""Das"",""Sonali"""
"""Das"",""Mitali"""
"""De Bock"",""Reinout"""
"""Dell'Ariccia"",""Giovanni"""
"""Diez"",""Federico"""
"""Duval"",""Romain Alexandre"""
"""Ebrahimy"",""Ehsan"""
"""End"",""Nicolas"""
"""Engler"",""Philipp"""
"""Erceg"",""Christopher J."""
"""Espinoza"",""Raphael A."""
"""Furceri"",""Davide"""
"""Ganelli"",""Giovanni"""
"""Garcia-Macia"",""Daniel"""
"""Gelos"",""Gaston"""
"""Ghilardi"",""Matteo Francesco"""
"""Gornicka"",""Lucyna"""
"""Grigoli"",""Francesco"""
"""Grigorian"",""David A."""
"""Hacibedel"",""Burcu"""
"""Hakamada"",""Mai"""
"""Hannan"",""Swarnali Ahmed"""
"""Hansen"",""Niels-Jakob Harbo H"""
"""Hashimoto"",""Yuko"""
"""He"",""Hui"""
"""Hebous"",""Shafik"""
"""Hong"",""Gee Hee"""
"""Igan"",""Deniz"""
"""Jalles"",""Joao"""
"""Jaumotte"",""Florence"""
"""Juvenal"",""Luciana"""
"""Kang"",""Kenneth"""
"""Kang"",""Joong Shik"""
"""Kim"",""Taehoon"""
"""Kirti"",""Divya"""
"""Klyuev"",""Vladimir"""
"""Koepke"",""Robin"""
"""Lee"",""Jaewoo"""
"""Leigh"",""Daniel"""
"""Li"",""Bin Grace"""
"""Li"",""Nan"""
"""Lin"",""Hannah Huidan"""
"""Liu"",""Li"""
"""Liu"",""Lucy Qian"""
"""Macchiarelli"",""Corrado"""
"""MacDonald"",""Margaux"""
"""Malacrino"",""Davide"""
"""Mano"",""Rui"""
"""Marini"",""Marco"""
"""Martinez"",""Leonardo"""
"""Martinez Peria"",""Maria Soledad"""
"""Matsumoto"",""Akito"""
"""Mauro"",""Paolo"""
"""Meleshchuk"",""Sergii"""
"""Melina"",""Giovanni"""
"""Mendes Tavares"",""Marina"""
"""Mishra"",""Prachi"""
"""Mogues"",""Tewodaj"""
"""Mongardini"",""Joannes"""
"""Mulas Granados"",""Carlos"""
"""Nabar"",""Malhar"""
"""Narita"",""Futoshi"""
"""Narita"",""Machiko"""
"""Natal"",""Jean-Marc"""
"""Novta"",""Natalija"""
"""Osorio Buitron"",""Carolina"""
"""Panton"",""Augustus J"""
"""Papageorgiou"",""Chris"""
"""Pasricha"",""Gurnain Kaur"""
"""Pescatori"",""Andrea"""
"""Pienknagura"",""Samuel"""
"""Pierri"",""Nicola"""
"""Platzer"",""Josef"""
"""Poghosyan"",""Tigran"""
"""Poirson"",""Hélène"""
"""Presbitero"",""Andrea Filippo"""
"""Puy"",""Damien"""
"""Rabanal"",""Pau"""
"""Ratnovski"",""Lev"""
"""Rebillard"",""Cyril"""
"""Reynaud"",""Julien"""
"""Ricci"",""Luca Antonio"""
"""Roch"",""Francisco"""
"""Rochon"",""Céline"""
"""Ruane"",""Cian"""
"""Sandri"",""Damiano"""
"""Schindler"",""Martin"""
"""Schulze"",""Tatjana"""
"""Shenai"",""Neil"""
"""Shi"",""Yu"""
"""Shibata"",""Ippei"""
"""Sole"",""Juan"""
"""Spatafora"",""Nikola"""
"""Spilimbergo"",""Antonio"""
"""Spray"",""John A"""
"""Srinivasan"",""Krishna"""
"""Stuermer"",""Martin"""
"""Svirydzenka"",""Katsiaryna"""
"""Sy"",""Amadou N. R."""
"""Tamirisa"",""Natalia T."""
"""Tapsoba"",""Sampawende J.-A."""
"""Tong"",""Hui"""
"""Topalova"",""Petia"""
"""Toscani"",""Frederik G"""
"""Tovar Mora"",""Camilo Ernesto"""
"""Tressel"",""Thierry"""
"""Tsangarides"",""Charalambos G."""
"""Tumbarello"",""Patrizia"""
"""Turk"",""Rima A"""
"""Unsal"",""D. Filiz"""
"""Valencia"",""Fabian"""
"""Varghese"",""Richard"""
"""Verdier"",""Geneviève"""
"""Villegas Bauer"",""German"""
"""Walsh"",""James P"""
"""Wang"",""Hou"""
"""Weber"",""Sebastian"""
"""Wu"",""Tao"""
"""Xu"",""TengTeng"""
"""Zanna"",""Luis-Felipe"""
"""Zhao"",""Yunhui"""
