"","container.title","published.print","doi","issue","title","volume","author","issn"
"1","American Economic Journal: Applied Economics","2015-07-01","10.1257/app.20130046","3","Hassle Costs and Price Discrimination: An Empirical Welfare Analysis","7","list(given = ""Guillermo"", family = ""Marshall"", sequence = ""first"", affiliation.name = ""Department of Economics, University of Illinois at Urbana-Champaign, 214 David Kinley Hall, 1407 W. Gregory, Urbana, Illinois 61801 (e-mail: )"")","1945-7790"
"2","American Economic Journal: Applied Economics","2021-04-01","10.1257/app.20190709","2","Disability and Distress: The Effect of Disability Programs on Financial Outcomes","13","list(given = c(""Manasi"", ""Tal"", ""Yalun""), family = c(""Deshpande"", ""Gross"", ""Su""), sequence = c(""first"", ""additional"", ""additional""), affiliation.name = c(""Kenneth C. Griffin Department of Economics, University of Chicago, 1126 East 59th Street, Chicago, IL 60637, and NBER (email: )"", ""Questrom School of Business, Boston University, 595 Commonwealth Avenue, Boston, MA 02215, and NBER (email: )"", ""Harris School of Public Policy, University of Chicago, 1307 East 60th Street, Chicago, IL 60637 (email: )""
))","1945-7790"
"3","American Economic Journal: Applied Economics","2021-04-01","10.1257/app.20190544","2","Intergenerational Spillovers in Disability Insurance","13","list(given = c(""Gordon B."", ""Anne C.""), family = c(""Dahl"", ""Gielen""), sequence = c(""first"", ""additional""), affiliation.name = c(""Department of Economics, University of California San Diego, 9500 Gilman Drive #0508, La Jolla, CA 92093-0508, Norwegian School of Economics, NBER, CESifo, CEPR, and IZA (email: )"", ""Erasmus School of Economics, Erasmus University Rotterdam, P.O. Box 1738, 3000 DR Rotterdam, The Netherlands, Tinbergen Institute, and IZA (email: )""))","1945-7790"
"4","American Economic Journal: Applied Economics","2021-01-01","10.1257/app.20180177","1","Gambling, Saving, and Lumpy Liquidity Needs","13","list(given = ""Sylvan"", family = ""Herskowitz"", sequence = ""first"", affiliation.name = ""Markets, Trade, and Institutions Division, International Food Policy Research Institute (email: )"")","1945-7790"
"5","American Economic Journal: Applied Economics","2017-04-01","10.1257/app.9.2.i","2","Front Matter","9","NULL","1945-7790"
"6","American Economic Journal: Applied Economics","2019-07-01","10.1257/app.20170128","3","Long-Run Effects of Temporary Incentives on Medical Care Productivity","11","list(given = c(""Pablo A."", ""Paul J."", ""Paula"", ""Christel""), family = c(""Celhay"", ""Gertler"", ""Giovagnoli"", ""Vermeersch""), sequence = c(""first"", ""additional"", ""additional"", ""additional""), affiliation.name = c(""Pontificia Universidad Católica de Chile, Avda. Libertador Bernardo O’Higgins 340, Santiago, Región Metropolitana, Chile 6904411 (email: )"", ""Haas School of Business, 2220 Piedmont Avenue University of California at Berkeley, Berkeley, CA (email: )"", ""World Bank, Bouchard 547, Floor 29, C1106ABG, Buenos Aires, Argentina (email: )"", 
""World Bank, MSN I7-100, 1818 H ST NW, Washington, DC (email: )""))","1945-7790"
"7","American Economic Journal: Applied Economics","2021-10-01","10.1257/app.20180542","4","Gender Identity, Coworking Spouses, and Relative Income within Households","13","list(given = c(""Natalia"", ""Maryna""), family = c(""Zinovyeva"", ""Tverdostup""), sequence = c(""first"", ""additional""), affiliation.name = c(""Department of Economics, University of Warwick, and Department of Economics, Aalto University (email: )"", ""Department of Public Finance, University of Innsbruck, and School of Economics and Business Administration, University of Tartu (email: )""))","1945-7790"
"8","American Economic Journal: Applied Economics","2021-10-01","10.1257/app.20190497","4","Teaching Labor Laws: Evidence from a Randomized Control Trial in South Africa","13","list(given = c(""Marianne"", ""Bruno""), family = c(""Bertrand"", ""Crépon""), sequence = c(""first"", ""additional""), affiliation.name = c(""Booth School of Business, University of Chicago (email: )"", ""CREST-ENSAE (email: )""))","1945-7790"
"9","American Economic Journal: Applied Economics","2018-10-01","10.1257/app.20160510","4","Why Has Urban Inequality Increased?","10","list(given = c(""Nathaniel"", ""Matthew"", ""Ronni""), family = c(""Baum-Snow"", ""Freedman"", ""Pavan""), sequence = c(""first"", ""additional"", ""additional""), affiliation.name = c(""Rotman School of Management, University of Toronto, 105 Saint George St., Toronto, ON M5S 3E6 (email: )"", ""Department of Economics, University of California-Irvine, 3151 Social Science Plaza, Irvine, CA 92617 (email: )"", ""Department of Economics, University of Rochester, Harkness Hall, Rochester, NY 14627 (email: )""))","1945-7790"
"10","American Economic Journal: Applied Economics","2013-01-01","10.1257/app.5.2.i","2","April 2013: Volume 5, Number 2","5","NULL","1945-7790"
"11","American Economic Journal: Applied Economics","2010-01-01","10.1257/app.2.1.i","1","January 2010 Volume 2, Number 1","2","NULL","1945-7790"
"12","American Economic Journal: Applied Economics","2016-07-01","10.1257/app.8.3.i","3","Front Matter","8","NULL","1945-7790"
"13","American Economic Journal: Applied Economics","2016-07-01","10.1257/app.20150158","3","The Impact of Disability Benefits on Labor Supply: Evidence from the VA's Disability Compensation Program","8","list(given = c(""David H."", ""Mark"", ""Kyle"", ""David S.""), family = c(""Autor"", ""Duggan"", ""Greenberg"", ""Lyle""), sequence = c(""first"", ""additional"", ""additional"", ""additional""), affiliation.name = c(""Department of Economics, Massachusetts Institute of Technology, 50 Memorial Drive, E52-371, Cambridge, MA 02142 and National Bureau of Economic Research (NBER) (e-mail: )"", ""Department of Economics, Stanford University, 579 Serra Mall, Stanford, CA 94305 and NBER (e-mail: )"", ""Department of Social Sciences, United States Military Academy, 607 Cullum Road, West Point, NY 10996 (e-mail: )"", 
""Department of Social Sciences, United States Military Academy, 607 Cullum Road, West Point, NY 10996 (e-mail: )""))","1945-7790"
"14","American Economic Journal: Applied Economics","2014-07-01","10.1257/app.6.3.i","3","Front Matter","6","NULL","1945-7790"
